Participant #,Gender,Word,Rating,Consonant,Vowel,"""P""","""T""","""K"" "," ""M""","""N""","""L""","""E""","""I""","""O""","""U""",1=3
P12,F,tip,0,Plosive,Front,T,T,F,F,F,F,F,T,F,F,F
P12,F,mem,1,Sonorant,Front,F,F,F,T,F,F,T,F,F,F,T
P12,F,lel,2,Sonorant,Front,F,F,F,F,F,T,T,F,F,F,T
P12,F,nul,3,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P12,F,mum,2,Sonorant,Back,F,F,F,T,F,F,F,F,F,T,T
P12,F,nim,1,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P12,F,pok,2,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P12,F,mon,0,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P13,M,mel,3,Sonorant,Front,F,F,F,T,F,T,T,F,F,F,F
P13,M,kop,3,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P13,M,nim,3,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P13,M,tit,2,Plosive,Front,F,T,F,F,F,F,F,T,F,F,T
P13,M,ket,3,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P13,M,mim,3,Sonorant,Front,F,F,F,T,F,F,F,T,F,F,T
P13,M,lul,3,Sonorant,Back,F,F,F,F,F,T,F,F,F,T,T
P13,M,pop,3,Plosive,Back,T,F,F,F,F,F,F,F,T,F,T
P13,M,kok,2,Plosive,Back,F,F,T,F,F,F,F,F,T,F,T
P13,M,pek,3,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P13,M,kot,3,Plosive,Back,F,T,T,F,F,F,F,F,T,F,F
P13,M,kep,3,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P13,M,lol,3,Sonorant,Back,F,F,F,F,F,T,F,F,T,F,T
P13,M,mon,3,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P13,M,nem,3,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P13,M,lon,3,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P14,F,mem,2,Sonorant,Front,F,F,F,T,F,F,T,F,F,F,T
P14,F,kep,2,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P14,F,mun,2,Sonorant,Back,F,F,F,T,T,F,F,F,F,T,F
P14,F,lul,2,Sonorant,Back,F,F,F,F,F,T,F,F,F,T,T
P14,F,tot,2,Plosive,Back,F,T,F,F,F,F,F,F,T,F,T
P14,F,tet,2,Plosive,Front,F,T,F,F,F,F,T,F,F,F,T
P14,F,pok,3,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P14,F,top,1,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P14,F,lum,1,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
P14,F,put,1,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P14,F,mim,2,Sonorant,Front,F,F,F,T,F,F,F,T,F,F,T
P14,F,nim,2,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P14,F,pek,2,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P14,F,ket,2,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P14,F,mom,1,Sonorant,Back,F,F,F,T,F,F,F,F,T,F,T
P14,F,nil,2,Sonorant,Front,F,F,F,F,T,T,F,T,F,F,F
P15,F,nol,2,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P15,F,kok,1,Plosive,Back,F,F,T,F,F,F,F,F,T,F,T
P15,F,kek,0,Plosive,Front,F,F,T,F,F,F,T,F,F,F,T
P15,F,pep,2,Plosive,Front,T,F,F,F,F,F,T,F,F,F,T
P15,F,tot,3,Plosive,Back,F,T,F,F,F,F,F,F,T,F,T
P15,F,nim,1,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P15,F,lil,3,Sonorant,Front,F,F,F,F,F,T,F,T,F,F,T
P15,F,nel,1,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P15,F,tut,3,Plosive,Back,F,T,F,F,F,F,F,F,F,T,T
P15,F,num,2,Sonorant,Back,F,F,F,T,T,F,F,F,F,T,F
P15,F,nil,3,Sonorant,Front,F,F,F,F,T,T,F,T,F,F,F
P15,F,lum,1,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
P15,F,pet,2,Plosive,Front,T,T,F,F,F,F,T,F,F,F,F
P15,F,pek,1,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P15,F,lol,2,Sonorant,Back,F,F,F,F,F,T,F,F,T,F,T
P15,F,kut,1,Plosive,Back,F,T,T,F,F,F,F,F,F,T,F
P16,F,kep,2,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P16,F,mim,3,Sonorant,Front,F,F,F,T,F,F,F,T,F,F,T
P16,F,pip,3,Plosive,Front,T,F,F,F,F,F,F,T,F,F,T
P16,F,men,1,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P16,F,nom,2,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P16,F,lul,2,Sonorant,Back,F,F,F,F,F,T,F,F,F,T,T
P16,F,lun,2,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P16,F,mum,3,Sonorant,Back,F,F,F,T,F,F,F,F,F,T,T
P16,F,tot,3,Plosive,Back,F,T,F,F,F,F,F,F,T,F,T
P16,F,tut,2,Plosive,Back,F,T,F,F,F,F,F,F,F,T,T
P16,F,tip,1,Plosive,Front,T,T,F,F,F,F,F,T,F,F,F
P16,F,top,2,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P16,F,nel,1,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P16,F,nil,2,Sonorant,Front,F,F,F,F,T,T,F,T,F,F,F
P16,F,pit,2,Plosive,Front,T,T,F,F,F,F,F,T,F,F,F
P16,F,kup,3,Plosive,Back,T,F,T,F,F,F,F,F,F,T,F
P17,M,ket,1,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P17,M,lol,2,Sonorant,Back,F,F,F,F,F,T,F,F,T,F,T
P17,M,min,3,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P17,M,nom,3,Sonorant,Back,F,F,F,T,T,F,F,F,T,F,F
P17,M,kut,0,Plosive,Back,F,T,T,F,F,F,F,F,F,T,F
P17,M,mim,1,Sonorant,Front,F,F,F,T,F,F,F,T,F,F,T
P17,M,tok,1,Plosive,Back,F,T,T,F,F,F,F,F,T,F,F
P17,M,lil,1,Sonorant,Front,F,F,F,F,F,T,F,T,F,F,T
P17,M,len,1,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P17,M,tik,0,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
